Numero,Cliente,Saldo,DiaAniversario
100109,12263,19220,17
100110,47349,35077,8
100111,14936,36857,12
100112,59331,71911,26
100113,66017,47182,25
100114,11610,66341,7
100115,88285,23729,29
100116,72767,36304,7
100117,96768,42418,4
100118,75772,93047,7
100119,26822,80139,3
100120,80755,47141,27
100121,11283,7821,4
100122,101627,97701,11
100123,18507,52274,28
100124,23438,747,12
100125,47498,2831,20
100126,68446,12971,4
100127,25030,22495,30
100128,18649,87983,25
100129,6527,22712,2
100130,19873,23655,15
100131,9599,25030,19
100132,90327,10607,11
100133,11787,56382,10
100134,20747,48258,4
100135,60213,44492,12
100136,44389,78273,31
100137,10505,21882,11
100138,40011,58762,1
100139,97927,98638,20
100140,20741,95796,16
100141,83348,40700,27
100142,20842,61693,19
100143,70775,33720,17
100144,31712,7082,10
100145,75582,63882,5
100146,98887,29096,25
100147,71027,25450,12
100148,92446,72946,12
100149,12200,29734,26
100150,18870,93491,13
100151,59834,38102,15
100152,84166,13211,27
100153,75138,75921,15
100154,101669,59916,12
100155,89372,1275,26
100156,7967,65177,30
100157,33459,55570,9
100158,62025,67719,25
100159,9246,92778,19
100160,43526,70677,14
100161,50594,88360,9
100162,92082,98558,23
100163,99762,42913,10
100164,61611,86216,11
100165,8979,8033,17
100166,67126,59570,6
100167,26134,7402,21
100168,82152,2811,19
100169,38134,58905,6
100170,65236,20645,9
100171,19158,6669,22
100172,62333,11741,20
100173,13198,78131,12
100174,91354,56019,8
100175,17868,38937,23
100176,50519,29738,6
100177,21675,54610,20
100178,85337,17472,15
100179,58055,20759,29
100180,33823,65398,22
100181,74764,74948,30
100182,11648,13961,31
100183,32317,17708,6
100184,15057,29972,12
100185,24170,99111,15
100186,39240,22938,18
100187,72196,73709,8
100188,55154,52742,1
100189,1991,65845,20
100190,8524,33496,2
100191,54877,71879,26
100192,76722,12760,8
100193,65729,24441,6
100194,77500,67833,6
100195,86706,55179,18
100196,88917,54472,6
100197,68471,54988,4
100198,87067,12150,16
100199,101196,64371,18
100200,95878,7227,30
100201,6774,59206,25
100202,23617,42622,23
100203,24174,68449,4
100204,33728,82483,17
100205,101494,48232,20
100206,11442,13039,16
100207,37638,34272,16
100208,39147,85032,1
100209,82013,18307,15
100210,26659,21180,28
100211,59506,16149,21
100212,25747,33867,15
100213,32338,34637,12
100214,68713,20665,13
100215,34074,23959,28
100216,33920,73916,12
100217,74351,8305,16
100218,58041,24991,13
100219,81041,47080,6
100220,37806,32580,8
100221,33887,72620,15
100222,47509,67536,19
100223,48907,8306,26
100224,20780,74279,4
100225,17273,51946,2
100226,65920,96425,5
100227,18931,10821,16
100228,50756,53448,15
100229,20220,88822,3
100230,85218,68800,22
100231,84860,43512,1
100232,96560,11794,26
100233,66497,62330,15
100234,97518,91226,24
100235,63378,19409,23
100236,33605,28204,30
100237,68071,3203,2
100238,91592,20137,13
100239,9490,13942,30
100240,42029,16153,29
100241,75877,47981,22
100242,25230,55439,25
100243,44552,64909,1
100244,65457,38017,16
100245,63942,86610,30
100246,100638,40976,25
100247,39027,9812,4
100248,36610,46610,21
100249,1578,88450,29
100250,85261,20551,16
100251,40642,67911,12
100252,82760,33429,6
100253,24028,78349,9
100254,57086,68632,21
100255,32237,45862,28
100256,56787,15209,25
100257,67368,63861,30
100258,94330,76486,9
100259,33722,96040,28
100260,23284,97401,11
100261,45234,87144,12
100262,31896,16704,12
100263,69378,78255,25
100264,69091,62488,5
100265,69704,61759,25
100266,25657,26862,6
100267,40644,4958,11
100268,57871,51579,29
100269,59214,74262,4
100270,72459,56987,26
100271,86071,12039,23
100272,18477,76200,15
100273,4211,89439,20
100274,7976,13975,13
100275,82717,85317,12
100276,90247,23428,2
100277,99063,5791,24
100278,33715,74234,31
100279,22033,21888,27
100280,46109,19162,7
100281,84872,3887,18
100282,31450,24597,23
100283,79905,13286,14
100284,12068,58142,10
100285,42283,45163,10
100286,50844,44214,14
100287,43453,671,30
100288,77876,78179,17
100289,97698,10498,29
100290,37216,35614,6
100291,10001,4439,3
100292,57392,69508,17
100293,59817,1032,21
100294,7705,23926,16
100295,2162,90161,12
100296,8839,25170,26
100297,89443,1991,10
100298,39562,86616,15
100299,100644,23945,31
100300,41097,42584,10
100301,57342,68242,7
100302,57377,3396,15
100303,12071,21792,24
100304,14451,94295,23
100305,84858,38568,19
100306,64135,54749,22
100307,71955,43924,31
100308,60282,87602,17
100309,70311,56173,23
100310,64587,93356,4
100311,35162,19896,31
100312,100081,39885,27
100313,19211,52928,20
100314,11347,24502,5
100315,99280,3704,1
100316,78570,80642,8
100317,68314,22328,1
100318,62643,63959,4
100319,22383,44245,24
100320,17995,92765,29
100321,55664,96132,6
100322,75697,46989,10
100323,8799,95019,2
100324,7465,60386,20
100325,71063,72252,23
100326,36521,41950,21
100327,43550,43627,16
100328,27789,78560,26
100329,74093,45043,13
100330,90181,38504,3
100331,14743,16787,1
100332,67921,85363,7
100333,38960,84166,6
100334,38183,19800,27
100335,8288,39130,26
100336,12777,54867,18
100337,83655,61443,26
100338,2791,37481,9
100339,63874,63201,12
100340,41079,38855,23
100341,76911,3298,25
100342,95382,25048,17
100343,67847,90488,23
100344,65727,51245,11
100345,82695,44815,31
100346,96187,34795,10
100347,97588,51120,28
100348,57558,17889,4
100349,88847,84904,7
100350,9160,51639,27
100351,25964,98337,8
100352,77118,16452,15
100353,65351,42406,15
100354,17038,86446,3
100355,29777,93030,25
100356,92940,60498,18
100357,71480,89918,23
100358,43,15488,25
100359,31179,60472,7
100360,78813,37321,26
100361,47938,85896,4
100362,32870,78106,20
100363,5938,11240,26
100364,10679,34958,30
100365,85104,96462,20
100366,66318,64769,9
100367,92082,63340,25
100368,3782,54760,20
100369,13325,19371,19
100370,6622,44923,23
100371,91714,18318,14
100372,48566,19244,21
100373,3445,28281,21
100374,52534,62519,13
100375,63798,61498,4
100376,63590,46596,5
100377,94950,88927,7
100378,98002,80625,27
100379,66419,65888,1
100380,32805,56387,30
100381,9004,40051,27
100382,28415,9483,19
100383,53825,4643,8
100384,67327,18179,7
100385,66497,25773,16
100386,92843,9331,29
100387,79022,15345,21
100388,63714,854,19
100389,72040,20268,14
100390,77690,77142,21
100391,77948,15703,14
100392,91142,72637,18
100393,42459,31902,3
100394,18796,6938,1
100395,80601,43685,12
100396,13308,37646,10
100397,89096,8640,30
100398,4334,34855,29
100399,12867,75058,28
100400,44842,61979,6
100401,18835,79262,28
100402,54550,27515,23
100403,7245,56271,20
100404,94803,23309,12
100405,86989,26832,24
100406,80653,3946,4
100407,70051,43316,20
100408,38753,81059,24
100409,15363,1920,6
100410,99638,57494,8
100411,98107,37984,17
100412,45418,63943,8
100413,56671,21299,24
100414,89072,1852,10
100415,74411,51822,28
100416,40218,72092,6
100417,76850,97346,16
100418,15197,25137,19
100419,29978,61915,19
100420,28649,91972,21
100421,18026,66012,22
100422,18937,35650,14
100423,36183,61212,1
100424,96119,23697,8
100425,31452,67181,14
100426,7828,11551,28
100427,16333,65277,28
100428,10801,48400,9
100429,35129,71196,17
100430,94951,26077,23
100431,342,13014,9
100432,97191,14337,2
100433,94251,53055,28
100434,72066,74346,4
100435,55357,75908,6
100436,94385,14792,22
100437,85025,20079,8
100438,77155,84509,18
100439,47450,45044,29
100440,4516,8622,22
100441,86678,57546,10
100442,4986,71958,2
100443,81603,58286,9
100444,22359,32748,16
100445,93248,65109,16
100446,78136,15915,1
100447,58794,78047,13
100448,7107,44846,3
100449,83741,96676,5
100450,100027,27306,25
100451,51979,62373,6
100452,64803,66568,1
100453,26452,20113,20
100454,94871,56809,18
100455,41360,18302,8
100456,1502,65164,14
100457,10764,93193,21
100458,1020,41102,13
100459,67777,28542,26
100460,76985,76691,29
100461,43824,38134,13
100462,46236,42366,22
100463,82855,13023,2
100464,54441,25896,14
100465,49050,65635,11
100466,100113,43818,9
100467,52849,72554,22
100468,47216,7439,17
100469,62706,78807,30
100470,19313,10127,10
100471,61402,8305,29
100472,72777,90335,16
100473,74818,91923,21
100474,38929,16685,9
100475,452,78826,21
100476,94088,71134,21
100477,46500,68953,13
100478,61837,98826,18
100479,27949,2326,28
100480,30127,50558,29
100481,75690,94695,8
100482,101209,43913,5
100483,45925,6834,1
100484,5522,59578,15
100485,46463,17998,19
100486,22249,25451,16
100487,7688,64829,22
100488,83987,9178,18
100489,42386,7878,14
100490,65507,97039,27
100491,62041,3996,7
100492,98751,97404,6
100493,18022,31916,17
100494,19187,29572,9
100495,87017,20309,4
100496,19671,3929,21
100497,49423,11034,13
100498,278,25103,6
100499,12344,9941,12
100500,93211,14773,15
100501,7591,47026,28
100502,17691,20704,18
100503,42845,97476,26
100504,52458,85815,18
100505,15401,86992,15
100506,16753,59832,30
100507,17468,53065,22
100508,99141,60454,21
100509,76340,70356,28
100510,80969,74282,18
100511,89551,88699,10
100512,20465,33532,22
100513,23644,88296,26
100514,86261,10105,9
100515,86859,36813,18
100516,14495,24492,15
100517,68249,76237,19
100518,51705,98395,3
100519,25491,60311,5
100520,69537,13432,16
100521,76000,7639,23
100522,10119,69053,30
100523,78849,38605,21
100524,12686,36535,13
100525,20223,97658,19
100526,49002,52751,18
100527,94117,98904,17
100528,79113,37653,1
100529,16671,4447,27
100530,84066,35910,2
100531,28107,42418,1
100532,41882,39003,22
100533,22564,24700,23
100534,55666,10058,22
100535,9049,33907,6
100536,985,9082,20
100537,51193,46843,23
100538,93398,61681,15
100539,68722,82929,26
100540,3102,91065,17
100541,27819,30683,26
100542,95338,65779,24
100543,40652,90682,6
100544,84127,78735,10
100545,67439,77737,10
100546,30373,71557,16
100547,32040,95751,2
100548,33833,37249,29
100549,77853,63996,27
100550,83189,92874,23
100551,64875,5595,5
100552,60746,57167,5
100553,73325,94244,20
100554,42491,30878,21
100555,31,59423,7
100556,80693,46199,8
100557,78454,34463,4
100558,42158,4662,12
100559,23591,38847,21
100560,92678,95632,6
100561,43318,50367,15
100562,53982,45043,30
100563,74100,78974,2
100564,58933,33986,3
100565,86878,75740,24
100566,45506,93857,7
100567,84126,86418,4
100568,60446,82770,27
100569,49792,18011,21
100570,95463,47661,14
100571,86823,44271,25
100572,52463,84686,22
100573,46876,76232,21
100574,96614,97250,26
100575,36151,94878,27
100576,92319,76848,13
100577,8222,61910,8
100578,98645,11798,17
100579,50919,39531,15
100580,39346,6944,12
100581,95052,55994,14
100582,44535,1147,9
100583,29025,70573,13
100584,40473,13379,14
100585,18665,55215,12
100586,66540,13275,16
100587,14237,8957,18
100588,80655,36091,27
100589,70867,68284,1
100590,36373,13314,8
100591,60198,93363,16
100592,81588,64844,12
100593,8370,40921,22
100594,77744,89321,11
100595,96030,23841,26
100596,64869,90700,1
100597,26823,56364,2
100598,55591,98528,27
100599,66414,36960,19
100600,57180,28237,28
100601,8559,26416,23
100602,23931,39678,10
100603,34672,7678,2
100604,23152,42708,21
100605,28448,94352,2
100606,92410,13537,12
100607,54948,64952,20
100608,72969,228,15
100609,61461,99569,25
100610,8464,76391,8
100611,29951,36028,2
100612,97507,1521,15
100613,39196,68394,30
100614,5277,34185,13
100615,48555,52906,30
100616,36520,7484,22
100617,94081,3905,4
100618,43263,53552,9
100619,5615,42467,15
100620,101869,41602,28
100621,78741,16117,13
100622,7185,78065,15
100623,88507,94052,30
100624,67458,36068,4
100625,35737,99909,20
100626,40906,92305,3
100627,14442,97246,22
100628,1167,26111,13
100629,100354,56006,14
100630,92446,84892,30
100631,46853,9679,21
100632,8091,96422,19
100633,28776,49003,23
100634,485,46955,4
100635,80877,45645,15
100636,63512,33775,6
100637,58658,27105,4
100638,41225,49678,20
100639,65407,44478,6
100640,36851,18319,15
100641,65125,573,26
100642,59472,17786,7
100643,49276,64719,24
100644,7848,87739,28
100645,35509,24770,20
100646,34788,50227,1
100647,43056,72075,3
100648,98101,75481,10
100649,51742,90720,26
100650,41059,40616,8
100651,54028,1623,5
100652,50038,76995,25
100653,13366,61467,26
100654,41683,46384,19
100655,70318,5241,29
100656,9351,23865,5
100657,76982,38603,16
100658,41431,95261,27
100659,64776,4253,27
100660,85962,74335,10
100661,78730,7099,8
100662,49996,73689,19
100663,82865,46308,11
100664,36718,47639,22
100665,91047,31919,26
100666,83393,79126,24
100667,17126,93075,17
100668,77247,64143,10
100669,53979,24718,28
100670,62039,6019,24
100671,54485,96967,12
100672,95066,66308,14
100673,38303,11634,3
100674,20695,62193,8
100675,18690,99702,28
100676,12213,42783,17
100677,27835,93780,5
100678,7994,13575,29
100679,38998,95613,24
100680,12869,31699,13
100681,30665,78954,30
100682,60643,40235,9
100683,54791,69175,3
100684,55436,26735,5
100685,84127,60045,2
100686,91166,45605,16
100687,88399,59117,8
100688,84145,62625,11
100689,46021,21555,30
100690,4747,30551,4
100691,49046,50710,1
100692,49516,7692,6
100693,73331,98824,4
100694,20412,43638,31
100695,53544,37608,22
100696,75373,46539,18
100697,87177,49602,2
100698,13689,3448,27
100699,12093,34542,25
100700,96745,80135,31
100701,82604,86929,13
100702,34042,84133,16
100703,100861,51457,26
100704,85653,2907,11
100705,6706,91285,28
100706,33420,2987,18
100707,66291,40486,20
100708,43930,36282,9
100709,28739,90226,28
100710,42665,21234,4
100711,62645,52362,9
100712,57738,3294,4
100713,23240,93818,5
100714,80064,48297,4
100715,37733,55923,18
100716,89015,74714,23
100717,92933,62814,18
100718,91400,83451,20
100719,9861,22759,13
100720,46185,24894,9
100721,15343,89862,7
100722,13881,29674,11
100723,82049,71858,6
100724,43552,35816,12
100725,31608,69658,10
100726,31915,71768,8
100727,3010,69710,28
100728,48417,53572,10
100729,99991,45331,7
100730,33317,40176,17
100731,93122,72809,3
100732,94407,181,18
100733,69868,42689,23
100734,35814,28330,21
100735,26106,42977,23
100736,33106,42672,25
100737,72682,67115,28
100738,73060,7026,20
100739,73017,81328,31
100740,94051,13971,8
100741,21955,26943,9
100742,81805,99458,8
100743,88378,22896,23
100744,83454,73774,13
100745,5319,91898,2
100746,37487,89053,11
100747,92881,82443,18
100748,7658,49607,24
100749,43960,81476,5
100750,48106,34860,29
100751,88959,22107,27
100752,91681,51400,13
100753,20438,57796,26
100754,13921,53941,4
100755,8152,19637,21
100756,64980,43041,26
100757,46590,89917,14
100758,36904,66080,27
100759,66630,7706,29
100760,39470,42427,25
100761,70135,25593,12
100762,16186,66371,13
100763,6765,95564,14
100764,6120,73925,10
100765,70936,47932,25
100766,91605,51024,24
100767,10600,1889,31
100768,54059,28110,2
100769,94575,37574,17
100770,73346,78145,17
100771,100594,84799,14
100772,97571,11,16
100773,22445,18716,8
100774,26770,97696,2
100775,45574,44680,15
100776,54177,31912,6
100777,59097,10563,3
100778,101860,61871,2
100779,62197,71869,10
100780,87923,38998,3
100781,61713,77151,1
100782,1242,89084,25
100783,585,27951,4
100784,37638,98179,14
100785,81888,35052,1
100786,66836,9778,9
100787,26227,60079,15
100788,23658,21672,8
100789,30944,1470,11
100790,27959,43363,8
100791,89918,84483,10
100792,69416,27006,6
100793,68736,24619,1
100794,92895,41287,30
100795,5699,9454,12
100796,69784,87397,7
100797,63799,67391,1
100798,71521,32348,19
100799,51483,82503,11
100800,95481,30974,25
100801,33709,78834,21
100802,42390,28261,20
100803,101079,21652,1
100804,78256,17221,25
100805,44202,52182,25
100806,6444,44460,19
100807,65581,73007,9
100808,80447,84387,14
100809,30476,32992,10
100810,20732,42929,14
100811,17484,53762,18
100812,61646,78580,7
100813,41393,57564,1
100814,95067,9932,5
100815,42207,53296,18
100816,13444,27459,31
100817,76575,89710,14
100818,5011,25048,6
100819,88938,79548,23
100820,67645,86574,6
100821,7472,17690,19
100822,641,58421,7
100823,71153,59589,22
100824,23541,90479,17
100825,97904,17614,4
100826,19113,97070,6
100827,2577,18969,10
100828,22979,57639,13
100829,40089,1621,17
100830,39583,60743,10
100831,72600,80264,1
100832,25287,80081,9
100833,16890,76402,1
100834,95313,95540,9
100835,51432,53148,7
100836,1611,79585,24
100837,10098,41267,14
100838,28121,80334,5
100839,12642,35567,23
100840,45672,30387,27
100841,44323,44998,11
100842,56392,51086,5
100843,96680,52007,2
100844,75475,26903,31
100845,101358,56810,23
100846,29068,89745,16
100847,17376,97650,2
100848,48540,75850,25
100849,15018,35746,27
100850,42678,95496,9
100851,47900,9820,29
100852,101333,79165,7
100853,76867,97332,14
100854,58768,98884,21
100855,8618,75485,24
100856,66345,80996,18
100857,54273,26344,9
100858,42319,8464,25
100859,27428,42024,29
100860,88842,63231,16
100861,71989,25051,18
100862,8324,36977,26
100863,50146,85555,16
100864,26598,85139,1
100865,77431,90563,6
100866,12723,91409,28
100867,93093,44744,23
100868,84462,58180,12
100869,41355,62946,17
100870,24202,60722,30
100871,4739,12744,29
100872,18528,32675,12
100873,58618,11137,22
100874,48019,20982,28
100875,2008,31358,25
100876,5822,29588,20
100877,101717,38594,24
100878,20821,8926,16
100879,61538,22759,10
100880,57681,41313,7
100881,95659,60984,11
100882,59619,81181,31
100883,42947,336,27
100884,89853,37565,8
100885,101385,20111,27
100886,67441,53137,10
100887,10344,37839,30
100888,81305,26785,28
100889,94181,27830,4
100890,62498,83784,5
100891,90488,38783,18
100892,44958,47715,9
100893,54742,54801,7
100894,7275,67050,8
100895,65084,38471,27
100896,17711,24267,8
100897,58244,15917,13
100898,74162,45880,6
100899,8904,44216,17
100900,87108,71558,17
100901,18020,80687,14
100902,34484,28702,22
100903,5892,97720,15
100904,64600,41568,20
100905,100467,97478,4
100906,3448,38660,27
100907,36084,44026,9
100908,24997,13150,11
100909,55967,1104,1
100910,56559,4125,24
100911,55175,63470,11
100912,43698,59332,16
100913,17609,85030,23
100914,71563,23042,9
100915,42150,95842,28
100916,37235,77980,17
100917,20129,21409,10
100918,81491,73984,12
100919,56882,93448,12
100920,84003,46911,23
100921,68295,1656,19
100922,97284,12788,23
100923,79880,45376,7
100924,35405,72057,15
100925,98523,73294,7
100926,61297,17108,28
100927,66277,98959,1
100928,10134,17663,22
100929,41660,23223,22
100930,80049,64432,13
100931,52665,17892,11
100932,83291,10496,5
100933,67182,99019,4
100934,12411,45580,12
100935,57567,10939,16
100936,86382,59693,16
100937,28400,17492,31
100938,100141,46307,30
100939,3469,38803,12
100940,17803,60002,1
100941,51637,21943,25
100942,76119,92019,14
100943,53449,62928,9
100944,24766,72508,4
100945,70618,15067,24
100946,31503,42287,10
100947,5744,69265,16
100948,72202,61497,27
100949,5091,67536,12
100950,78900,88601,1
100951,14072,81320,14
100952,5583,3010,17
100953,20606,38685,23
100954,16159,84333,9
100955,71505,42386,2
100956,85918,93291,16
100957,21423,36611,17
100958,30656,97764,10
100959,35539,58671,13
100960,60607,44007,28
100961,93693,59520,3
100962,85597,72547,22
100963,44136,73845,15
100964,88899,8571,25
100965,66853,69754,22
100966,81465,68437,16
100967,99793,48591,9
100968,71181,41049,22
100969,56021,76869,31
100970,54898,84062,30
100971,100779,523,21
100972,51479,46810,23
100973,59417,90423,23
100974,17494,68666,21
100975,4791,1376,14
100976,76505,96849,1
100977,92663,2867,13
100978,75296,28478,30
100979,17030,2402,14
100980,2336,3689,9
100981,51979,29722,23
100982,47595,34917,13
100983,101126,96421,2
100984,96776,47208,17
100985,15258,17262,28
100986,80152,5582,21
100987,46692,36805,22
100988,6850,15763,5
100989,14218,83717,18
100990,15807,68561,24
100991,36906,65589,5
100992,7561,33797,13
100993,20122,94415,7
100994,47989,44144,8
100995,97881,7001,9
100996,101552,22427,28
100997,79860,27689,8
100998,88934,50028,28
100999,86697,66666,29
101000,49454,35563,3
101001,101137,35351,18
101002,26748,38979,14
101003,27983,55536,2
101004,12075,53262,26
101005,61841,86374,9
101006,32536,91240,15
101007,100959,25359,2
101008,83648,54272,5
101009,81767,66304,18
101010,88479,22787,23
101011,43392,8478,14
101012,38455,13851,18
101013,40314,50646,10
101014,52165,54486,16
101015,19380,94482,8
101016,87288,61790,17
101017,91218,8562,15
101018,89234,5320,27
101019,82283,23104,2
101020,8025,41311,17
101021,44067,47109,16
101022,40444,41169,15
101023,97545,83600,1
101024,98555,32949,17
101025,95631,63464,21
101026,16882,18846,14
101027,49775,70983,31
101028,19310,39020,12
101029,86135,787,18
101030,68028,34789,7
101031,15577,78650,26
101032,72314,32424,9
101033,60838,28456,11
101034,39031,37112,31
101035,94514,73895,13
101036,5468,30836,7
101037,31105,37419,25
101038,44294,43692,5
101039,4589,61409,4
101040,98007,10531,5
101041,78390,13248,15
101042,28066,59566,29
101043,46583,93397,28
101044,47694,89491,27
101045,81736,4959,21
101046,11067,64015,20
101047,30020,40472,6
101048,68300,53274,8
101049,94008,12463,23
101050,41730,20906,6
101051,48573,90804,20
101052,62118,24171,20
101053,74570,94804,4
101054,75439,43604,1
101055,7593,31147,28
101056,75093,30110,31
101057,101836,22869,19
101058,58499,54262,17
101059,97301,50247,30
101060,5026,67428,18
101061,7959,22228,1
101062,20828,35836,27
101063,98883,67367,12
101064,74544,52,15
101065,59909,23502,8
101066,35363,63489,17
101067,96209,84181,5
101068,27661,38926,30
101069,19906,44443,2
101070,31859,12477,25
101071,75905,52425,19
101072,35953,47577,20
101073,66082,93975,13
101074,53734,84986,13
101075,11828,54707,20
101076,84654,84271,31
101077,96953,1722,10
101078,64820,32207,24
101079,23238,24606,13
101080,61620,88219,26
101081,31308,34673,28
101082,85842,14926,7
101083,5601,14724,30
101084,86615,81068,24
101085,43463,11607,17
101086,22221,20644,4
101087,49411,95605,10
101088,68184,43317,24
101089,2405,98221,17
101090,56672,35589,2
101091,60222,10136,30
101092,8964,12079,5
101093,58368,79142,17
101094,100441,12851,27
101095,52434,23504,11
101096,75778,48270,14
101097,40031,72239,20
101098,83651,38081,3
101099,15951,40237,4
101100,58389,90574,17
101101,86734,78823,8
101102,63006,76504,27
101103,81122,70511,18
101104,19694,55844,23
101105,52295,56926,4
101106,64328,24761,28
101107,79712,20348,5
101108,98646,95068,26
101109,48283,68638,13
101110,9285,64057,19
101111,47658,95708,28
101112,15921,92247,22
101113,87848,79196,1
101114,99507,51505,21
101115,1437,27778,30
101116,33985,22608,23
101117,3423,54405,15
101118,98710,10343,16
101119,93341,14422,6
101120,34024,39516,14
101121,88578,18267,11
101122,83505,55115,30
101123,39496,34183,10
101124,96365,80397,22
101125,77366,21176,8
101126,8904,156,27
101127,14321,21570,30
101128,45050,96344,17
101129,77182,84552,21
101130,43244,16524,6
101131,47663,86196,20
101132,15463,41983,13
101133,17467,16926,14
101134,63506,57864,7
101135,73153,10156,23
101136,88368,88202,20
101137,2503,2214,29
101138,83416,41846,7
101139,69802,5995,9
101140,74008,19880,28
101141,9595,65710,10
101142,54821,30839,1
101143,75853,36819,3
101144,11994,4299,1
101145,94383,91922,27
101146,76554,13934,11
101147,82879,92259,2
101148,92178,18723,14
101149,74612,90153,14
101150,82604,36858,1
101151,52090,86911,6
101152,94265,53731,4
101153,19154,10425,12
101154,71497,58906,5
101155,82583,57701,3
101156,41351,25661,28
101157,46117,86954,5
101158,61065,69672,25
101159,16483,6126,21
101160,41684,778,23
101161,66339,94110,19
101162,98503,54276,27
101163,82614,23262,23
101164,71943,79662,25
101165,49966,43941,9
101166,54725,22465,31
101167,70186,3648,7
101168,65874,27725,24
101169,30740,85824,27
101170,21035,1180,22
101171,72883,6684,15
101172,15697,86268,4
101173,7073,63437,29
101174,85136,53684,15
101175,25863,48712,2
101176,53770,24961,5
101177,1428,32051,5
101178,61143,4964,10
101179,34257,6167,24
101180,18476,14173,13
101181,93081,18096,10
101182,27151,86706,6
101183,81952,12807,28
101184,87089,30850,25
101185,68123,39382,20
101186,81438,50222,9
101187,14698,14082,13
101188,74068,32742,13
101189,13741,14599,7
101190,94945,83986,12
101191,28086,31453,1
101192,55885,60076,17
101193,34910,99207,8
101194,94503,57384,13
101195,69566,18210,9
101196,58836,89679,25
101197,64993,1138,29
101198,32488,4643,13
101199,25395,29292,15
101200,69928,18600,23
101201,7478,553,15
101202,59615,14823,8
101203,13168,64020,25
101204,86965,60650,18
101205,51475,95202,28
101206,74620,11156,2
101207,90519,56343,15
101208,11087,55342,14
101209,82121,93441,6
101210,50638,62690,14
101211,51698,58714,21
101212,85886,69115,16
101213,3005,5792,22
101214,77220,4257,25
101215,43951,4715,26
101216,33169,71088,8
101217,66903,4066,9
101218,55610,62147,29
101219,49795,50541,14
101220,71634,7993,15
101221,5916,90315,28
101222,89471,38602,8
101223,77823,58225,13
101224,30579,71526,5
101225,77662,2445,19
101226,36280,69735,27
101227,40252,55055,21
101228,59687,4973,9
101229,64295,3472,1
101230,16495,37880,21
101231,72458,76396,21
101232,5930,16138,21
101233,76425,49841,29
101234,77917,58407,8
101235,93765,29328,28
101236,75606,76569,5
101237,29555,8690,26
101238,93161,11031,28
101239,30719,75610,8
101240,14125,19188,16
101241,73820,9038,10
101242,8502,3401,21
101243,85761,51118,30
101244,39470,86927,7
101245,72777,94099,25
101246,43764,39566,9
101247,54147,35077,22
101248,59448,88110,20
101249,96705,75689,20
101250,100113,63951,17
101251,77097,88532,19
101252,11235,48657,24
101253,75657,86101,15
101254,66630,79068,25
101255,76580,39764,10
101256,15398,66883,11
101257,41090,50882,26
101258,80015,1718,2
101259,28924,74696,21
101260,2977,83783,14
101261,2461,38323,4
101262,38393,60019,19
101263,55843,57062,25
101264,101010,92202,27
101265,23772,36227,20
101266,450,2558,24
101267,75411,83777,19
101268,57941,58773,9
101269,51418,71291,28
101270,79967,69831,8
101271,13926,86677,1
